dates,Open,High,low,close
1970-04-04,614,614,277,447
1970-04-05,308,308,147,266
1970-04-06,992,992,104,641
1970-04-07,265,893,11,388
1970-04-08,790,790,27,415
1970-04-09,615,615,615,615
1970-04-10,184,653,184,585
1970-04-11,998,998,230,634
1970-04-12,401,644,401,597
1970-04-13,801,801,576,683
1970-04-14,468,734,468,625
1970-04-15,798,798,606,700
1970-04-16,617,617,465,559
1970-04-17,766,766,715,745
1970-04-18,946,946,168,601
1970-04-19,563,687,563,602
1970-04-20,346,346,227,286
1970-04-21,739,739,247,616
1970-04-22,683,683,603,609
1970-04-23,888,888,679,831
1970-04-24,531,745,531,721
1970-04-25,101,881,101,806
1970-04-26,192,537,192,422
1970-04-27,63,548,63,86
1970-04-28,592,592,592,592
1970-04-29,815,984,124,529
1970-04-30,520,520,364,411
1970-05-01,627,627,66,489
1970-05-02,132,572,132,349
1970-05-03,405,405,303,377
1970-05-04,120,618,120,261
1970-05-05,98,237,98,145
1970-05-06,95,248,95,243
1970-05-07,39,255,39,89
1970-05-08,788,788,788,788
1970-05-09,4,987,4,706
1970-05-10,568,568,568,568
1970-05-11,817,915,441,830
1970-05-12,630,630,466,619
1970-05-13,681,681,85,563
1970-05-14,248,274,248,255
1970-05-15,121,685,121,410
1970-05-16,395,472,395,412
1970-05-17,700,807,700,748
1970-05-18,861,861,645,793
1970-05-19,616,891,4,292
1970-05-20,291,955,291,600
1970-05-21,592,592,592,592
1970-05-22,243,502,243,481
1970-05-23,704,704,456,592
1970-05-24,308,841,308,403
1970-05-25,55,831,55,238
1970-05-26,276,935,276,927
1970-05-27,272,272,272,272
1970-05-28,698,698,240,644
1970-05-29,165,471,89,112
1970-05-30,2,691,2,365
1970-05-31,258,942,234,815
1970-06-01,891,891,144,331
1970-06-02,864,864,864,864
1970-06-03,763,763,726,731
1970-06-04,896,896,896,896
1970-06-05,433,434,104,274
1970-06-06,646,757,539,652
1970-06-07,665,665,405,512
1970-06-08,811,811,16,311
1970-06-09,506,506,506,506
1970-06-10,730,730,345,439
1970-06-11,183,714,13,293
1970-06-12,704,939,108,673
1970-06-13,237,524,237,486
1970-06-14,684,909,182,264
1970-06-15,483,483,353,414
1970-06-16,152,503,152,309
1970-06-17,783,783,17,363
1970-06-18,861,861,444,690
1970-06-19,392,727,330,724
1970-06-20,71,375,71,83
1970-06-21,849,953,730,807
1970-06-22,457,744,457,625
1970-06-23,344,377,344,347
1970-06-24,698,698,315,344
1970-06-25,645,793,645,760
1970-06-26,529,573,217,263
1970-06-27,734,734,481,708
1970-06-28,471,471,471,471
1970-06-29,910,910,360,613
1970-06-30,267,932,240,712
1970-07-01,289,350,206,325
1970-07-02,580,580,514,524
1970-07-03,972,972,972,972
1970-07-04,861,861,152,504
1970-07-05,606,606,606,606
1970-07-06,461,875,461,650
1970-07-07,269,269,158,205
1970-07-08,715,715,715,715
1970-07-09,164,306,164,238
1970-07-10,980,980,426,716
1970-07-11,848,848,717,776
1970-07-12,499,710,95,691
1970-07-13,544,544,544,544
1970-07-14,891,891,626,889
1970-07-15,534,534,356,360
1970-07-16,234,304,234,241
1970-07-17,759,859,759,845
1970-07-18,671,671,195,203
1970-07-19,486,837,486,657
1970-07-20,756,756,756,756
1970-07-21,809,809,454,637
1970-07-22,398,660,283,409
1970-07-23,933,933,672,748
1970-07-24,452,452,452,452
1970-07-25,893,893,893,893
1970-07-26,332,971,98,785
1970-07-27,920,920,672,761
1970-07-28,284,284,284,284
1970-07-29,890,890,552,827
1970-07-30,555,671,91,418
1970-07-31,78,191,78,99
1970-08-01,450,739,450,555
1970-08-02,557,557,450,511
1970-08-03,411,411,229,331
1970-08-04,667,667,667,667
1970-08-05,250,250,250,250
1970-08-06,809,809,509,731
1970-08-07,61,154,61,119
1970-08-08,11,515,11,498
1970-08-09,858,858,34,690
1970-08-10,765,765,267,428
1970-08-11,389,605,389,586
1970-08-12,724,724,40,628
1970-08-13,235,916,101,804
1970-08-14,779,779,441,548
1970-08-15,820,820,47,222
1970-08-16,499,499,499,499
1970-08-17,300,550,300,461
1970-08-18,14,478,14,242
1970-08-19,902,902,548,560
1970-08-20,768,768,768,768
1970-08-21,842,842,68,816
1970-08-22,965,965,774,789
1970-08-23,743,743,206,382
1970-08-24,166,166,166,166
1970-08-25,551,551,551,551
1970-08-26,528,528,528,528
1970-08-27,11,872,11,751
1970-08-28,255,517,224,480
1970-08-29,37,864,37,633
1970-08-30,943,943,426,538
1970-08-31,800,800,378,611
1970-09-01,719,719,719,719
1970-09-02,401,401,336,369
1970-09-03,506,506,506,506
1970-09-04,991,991,643,709
1970-09-05,968,968,36,754
1970-09-06,772,772,247,670
1970-09-07,303,303,201,209
1970-09-08,182,953,182,273
1970-09-09,744,884,265,442
1970-09-10,555,736,555,672
1970-09-11,516,516,516,516
1970-09-12,663,888,494,513
1970-09-13,720,720,106,366
1970-09-14,622,622,573,591
1970-09-15,32,208,32,130
1970-09-16,701,873,569,666
1970-09-17,736,736,357,651
1970-09-18,143,376,38,364
1970-09-19,163,547,163,293
1970-09-20,967,967,967,967
1970-09-21,546,857,536,762
1970-09-22,683,683,544,580
1970-09-23,554,554,5,252
1970-09-24,55,177,55,167
1970-09-25,432,432,432,432
1970-09-26,764,764,657,726
1970-09-27,847,847,20,244
1970-09-28,31,31,31,31
1970-09-29,140,954,140,288
1970-09-30,786,988,527,838
1970-10-01,80,737,80,616
1970-10-02,596,875,596,686
1970-10-03,761,793,761,777
1970-10-04,278,278,278,278
1970-10-05,577,890,506,600
1970-10-06,446,446,280,345
1970-10-07,783,922,742,793
1970-10-08,701,701,701,701
1970-10-09,652,652,558,616
1970-10-10,204,566,16,186
1970-10-11,979,979,444,735
1970-10-12,457,776,457,564
1970-10-13,678,729,280,581
1970-10-14,979,979,930,963
1970-10-15,531,531,78,164
1970-10-16,244,676,244,281
1970-10-17,869,869,630,742
1970-10-18,645,645,577,598
1970-10-19,729,798,498,605
1970-10-20,15,318,15,288
1970-10-21,79,385,79,268
1970-10-22,506,506,184,247
1970-10-23,771,771,648,664
1970-10-24,382,382,382,382
1970-10-25,717,878,717,788
1970-10-26,226,877,226,365
1970-10-27,675,753,675,683
1970-10-28,24,249,24,134
1970-10-29,871,871,96,846
1970-10-30,160,160,160,160
1970-10-31,854,854,353,544
1970-11-01,338,741,14,75
1970-11-02,451,451,325,384
1970-11-03,621,935,336,913
1970-11-04,872,872,119,450
1970-11-05,762,831,762,818
1970-11-06,884,884,167,232
1970-11-07,850,850,258,549
1970-11-08,617,993,164,581
1970-11-09,545,545,545,545
1970-11-10,592,592,428,439
1970-11-11,456,456,456,456
1970-11-12,521,521,139,282
1970-11-13,329,329,50,193
1970-11-14,421,421,421,421
1970-11-15,797,797,420,671
1970-11-16,350,823,199,236
1970-11-17,596,596,139,379
1970-11-18,597,597,597,597
1970-11-19,590,590,228,554
1970-11-20,829,829,829,829
1970-11-21,905,905,30,637
1970-11-22,429,687,226,281
1970-11-23,633,633,619,632
1970-11-24,915,915,296,309
1970-11-25,145,610,145,597
1970-11-26,302,330,302,313
1970-11-27,183,701,183,192
1970-11-28,811,811,469,573
1970-11-29,137,987,137,215
1970-11-30,111,111,111,111
1970-12-01,119,869,6,315
1970-12-02,695,932,72,768
1970-12-03,161,423,161,313
1970-12-04,139,737,139,156
1970-12-05,816,816,138,602
1970-12-06,13,957,13,884
1970-12-07,34,698,34,461
1970-12-08,440,627,416,496
1970-12-09,189,680,189,339
1970-12-10,390,390,390,390
1970-12-11,519,731,519,729
1970-12-12,910,910,480,680
1970-12-13,207,207,207,207
1970-12-14,949,949,56,425
1970-12-15,667,667,667,667
1970-12-16,814,814,298,571
1970-12-17,95,95,95,95
1970-12-18,719,939,719,749
1970-12-19,421,632,149,273
1970-12-20,99,358,36,331
1970-12-21,751,751,751,751
1970-12-22,737,737,323,373
1970-12-23,105,793,105,472
1970-12-24,604,637,58,587
1970-12-25,160,210,160,169
1970-12-26,120,681,120,612
1970-12-27,977,977,654,663
1970-12-28,607,607,403,492
1970-12-29,760,760,732,743
1970-12-30,823,823,813,815
1970-12-31,726,726,99,136
1971-01-01,454,454,155,355
1971-01-02,113,896,70,152
1971-01-03,558,871,114,208
1971-01-04,822,822,822,822
1971-01-05,873,873,705,854
1971-01-06,340,731,340,639
1971-01-07,967,967,488,617
1971-01-08,343,343,343,343
1971-01-09,432,477,290,355
1971-01-10,152,152,52,90
1971-01-11,131,448,131,256
1971-01-12,974,974,402,960
1971-01-13,374,374,86,335
1971-01-14,180,196,180,187
1971-01-15,795,795,795,795
1971-01-16,514,514,514,514
1971-01-17,222,222,222,222
1971-01-18,596,789,148,405
1971-01-19,938,938,249,780
1971-01-20,838,838,838,838
1971-01-21,951,951,319,466
1971-01-22,119,452,119,363
1971-01-23,283,728,283,329
1971-01-24,888,888,224,843
1971-01-25,114,870,114,827
1971-01-26,623,719,623,700
1971-01-27,982,982,244,571
1971-01-28,216,252,216,221
1971-01-29,516,877,516,833
1971-01-30,291,552,291,304
1971-01-31,452,452,452,452
1971-02-01,627,627,343,439
1971-02-02,859,859,598,649
1971-02-03,482,482,117,164
1971-02-04,868,868,283,426
1971-02-05,658,658,8,647
1971-02-06,677,677,677,677
1971-02-07,842,842,211,365
1971-02-08,954,954,653,722
1971-02-09,889,889,889,889
1971-02-10,421,872,230,716
1971-02-11,646,646,646,646
1971-02-12,98,946,98,524
1971-02-13,128,570,21,421
1971-02-14,350,551,350,475
1971-02-15,975,975,889,962
1971-02-16,626,911,626,821
1971-02-17,525,733,525,565
1971-02-18,659,672,659,664
1971-02-19,879,879,740,779
1971-02-20,467,467,467,467
1971-02-21,360,530,360,453
1971-02-22,444,614,444,506
1971-02-23,539,695,174,496
1971-02-24,600,600,600,600
1971-02-25,229,432,32,327
1971-02-26,536,536,128,517
1971-02-27,421,815,421,795
1971-02-28,344,344,344,344
1971-03-01,231,231,231,231
1971-03-02,455,983,455,940
1971-03-03,603,789,603,771
1971-03-04,459,459,459,459
1971-03-05,233,686,233,654
1971-03-06,71,469,22,97
1971-03-07,456,777,393,432
1971-03-08,322,656,322,462
1971-03-09,187,504,22,445
1971-03-10,267,267,150,233
1971-03-11,746,746,98,719
1971-03-12,939,939,293,395
1971-03-13,364,474,364,410
1971-03-14,857,857,440,767
1971-03-15,582,584,10,515
1971-03-16,335,982,335,759
1971-03-17,922,922,18,295
1971-03-18,167,564,167,365
1971-03-19,527,527,315,501
1971-03-20,76,685,76,676
1971-03-21,980,980,482,747
1971-03-22,636,636,636,636
1971-03-23,860,860,247,779
1971-03-24,136,671,136,550
1971-03-25,46,707,46,549
1971-03-26,348,348,147,281
1971-03-27,529,791,93,431
1971-03-28,254,852,254,675
1971-03-29,142,590,142,473
1971-03-30,308,308,308,308
1971-03-31,954,954,15,214
1971-04-01,906,906,482,786
1971-04-02,34,698,34,193
1971-04-03,277,378,277,320
1971-04-04,28,944,28,57
1971-04-05,581,986,12,865
1971-04-06,847,847,809,838
1971-04-07,473,473,300,384
1971-04-08,592,592,47,53
1971-04-09,926,926,582,661
1971-04-10,587,798,510,672
1971-04-11,93,123,93,94
1971-04-12,277,396,277,363
1971-04-13,981,981,105,546
1971-04-14,597,647,155,348
1971-04-15,793,793,563,747
1971-04-16,0,59,0,25
1971-04-17,940,940,940,940
1971-04-18,861,861,225,461
1971-04-19,167,814,19,536
1971-04-20,365,510,91,132
1971-04-21,934,934,801,808
1971-04-22,54,131,54,113
1971-04-23,456,550,38,308
1971-04-24,794,794,794,794
1971-04-25,712,712,193,620
1971-04-26,899,899,299,611
1971-04-27,440,895,272,848
1971-04-28,525,619,34,302
1971-04-29,712,712,654,677
1971-04-30,209,594,172,560
1971-05-01,667,667,667,667
1971-05-02,660,660,251,509
1971-05-03,403,560,403,533
1971-05-04,500,500,224,376
1971-05-05,350,505,350,463
1971-05-06,396,396,396,396
1971-05-07,52,244,52,161
1971-05-08,26,695,26,94
1971-05-09,314,967,314,533
1971-05-10,547,547,547,547
1971-05-11,952,952,129,289
1971-05-12,827,827,271,298
1971-05-13,413,413,413,413
1971-05-14,95,800,4,720
1971-05-15,753,855,353,805
1971-05-16,530,989,18,791
1971-05-17,671,671,325,501
1971-05-18,38,404,38,247
1971-05-19,712,712,712,712
1971-05-20,289,500,278,282
1971-05-21,275,886,275,662
1971-05-22,40,495,40,353
1971-05-23,399,608,399,576
1971-05-24,138,772,138,316
1971-05-25,614,682,527,547
1971-05-26,375,375,122,241
1971-05-27,962,962,918,945
1971-05-28,17,951,17,778
1971-05-29,100,592,100,474
1971-05-30,47,130,47,96
1971-05-31,949,949,249,685
1971-06-01,806,806,549,725
1971-06-02,976,976,16,232
1971-06-03,830,830,830,830
1971-06-04,168,527,114,503
1971-06-05,593,641,593,624
1971-06-06,876,876,840,854
1971-06-07,837,837,607,637
1971-06-08,989,989,951,966
1971-06-09,476,944,476,478
1971-06-10,991,991,745,951
1971-06-11,365,417,365,366
1971-06-12,825,825,58,614
1971-06-13,85,895,11,116
1971-06-14,895,895,685,876
1971-06-15,265,412,265,288
1971-06-16,911,911,8,229
1971-06-17,529,529,452,516
1971-06-18,579,936,166,657
1971-06-19,899,931,899,924
1971-06-20,681,681,681,681
1971-06-21,293,479,293,476
1971-06-22,825,825,387,741
1971-06-23,291,291,291,291
1971-06-24,23,267,23,42
1971-06-25,867,867,705,785
1971-06-26,654,654,522,536
1971-06-27,772,772,373,678
1971-06-28,320,885,254,394
1971-06-29,135,892,135,633
1971-06-30,883,883,561,718
1971-07-01,910,929,349,420
1971-07-02,985,985,720,981
1971-07-03,21,203,21,63
1971-07-04,30,920,30,150
1971-07-05,213,748,213,239
1971-07-06,752,752,195,428
1971-07-07,62,871,51,394
1971-07-08,563,787,210,516
1971-07-09,207,274,207,230
1971-07-10,442,578,442,480
1971-07-11,462,462,337,442
1971-07-12,471,471,471,471
1971-07-13,200,923,200,788
1971-07-14,21,193,21,105
1971-07-15,804,981,39,822
1971-07-16,417,417,258,387
1971-07-17,303,303,303,303
1971-07-18,59,320,59,227
1971-07-19,79,118,14,58
1971-07-20,810,810,679,727
1971-07-21,676,676,450,628
1971-07-22,819,819,35,344
1971-07-23,303,303,303,303
1971-07-24,543,596,326,465
1971-07-25,515,649,182,451
1971-07-26,16,165,16,97
1971-07-27,811,811,811,811
1971-07-28,381,827,381,487
1971-07-29,742,880,35,571
1971-07-30,285,749,285,606
1971-07-31,864,864,448,818
1971-08-01,837,855,35,808
1971-08-02,263,263,263,263
1971-08-03,422,422,422,422
1971-08-04,949,949,169,669
1971-08-05,951,951,475,868
1971-08-06,174,785,106,614
1971-08-07,739,770,429,675
1971-08-08,829,829,99,120
1971-08-09,408,408,408,408
1971-08-10,153,974,153,254
1971-08-11,494,561,494,504
1971-08-12,238,238,238,238
1971-08-13,394,424,394,410
1971-08-14,776,858,173,642
1971-08-15,50,683,50,624
1971-08-16,406,721,12,343
1971-08-17,419,519,319,359
1971-08-18,564,815,564,677
1971-08-19,590,590,169,329
1971-08-20,75,75,75,75
1971-08-21,577,577,256,423
1971-08-22,49,346,49,84
1971-08-23,924,924,439,699
1971-08-24,214,508,69,154
1971-08-25,946,946,735,809
1971-08-26,48,65,48,49
1971-08-27,542,645,66,430
1971-08-28,975,975,574,762
1971-08-29,544,757,544,584
1971-08-30,858,858,529,584
1971-08-31,94,852,36,342
1971-09-01,899,899,797,850
1971-09-02,692,692,385,489
1971-09-03,642,642,583,611
1971-09-04,34,93,34,52
1971-09-05,204,204,204,204
1971-09-06,166,826,166,473
1971-09-07,18,469,18,193
1971-09-08,560,786,112,121
1971-09-09,727,727,39,431
1971-09-10,88,534,88,120
1971-09-11,141,196,141,189
1971-09-12,72,72,72,72
1971-09-13,979,979,437,555
1971-09-14,658,658,658,658
1971-09-15,408,408,252,285
1971-09-16,623,899,226,585
1971-09-17,504,504,504,504
1971-09-18,955,955,164,449
1971-09-19,733,754,733,753
1971-09-20,875,875,630,849
1971-09-21,120,865,10,106
1971-09-22,160,562,160,425
1971-09-23,800,800,208,696
1971-09-24,646,646,89,200
1971-09-25,598,679,468,634
1971-09-26,757,757,227,250
1971-09-27,328,436,274,302
1971-09-28,33,920,33,434
1971-09-29,126,319,126,318
1971-09-30,848,848,848,848
1971-10-01,761,940,761,938
1971-10-02,537,537,537,537
1971-10-03,441,626,441,543
1971-10-04,869,869,379,522
1971-10-05,865,865,608,690
1971-10-06,783,783,61,91
1971-10-07,718,718,437,699
1971-10-08,28,822,28,537
1971-10-09,970,970,362,392
1971-10-10,269,735,269,557
1971-10-11,196,495,141,489
1971-10-12,91,387,91,209
1971-10-13,876,876,809,820
1971-10-14,340,340,340,340
1971-10-15,233,381,233,250
1971-10-16,306,306,30,49
1971-10-17,872,872,488,647
1971-10-18,335,940,335,849
1971-10-19,217,791,26,133
1971-10-20,99,785,99,782
1971-10-21,74,651,74,553
1971-10-22,262,494,262,336
1971-10-23,773,773,584,666
1971-10-24,251,854,251,848
1971-10-25,427,985,427,456
1971-10-26,224,515,224,283
1971-10-27,510,510,510,510
1971-10-28,262,587,74,350
1971-10-29,116,579,68,493
1971-10-30,754,754,472,704
1971-10-31,257,478,257,454
1971-11-01,410,410,410,410
1971-11-02,815,815,628,673
1971-11-03,118,160,118,154
1971-11-04,583,583,501,547
1971-11-05,680,680,680,680
1971-11-06,622,622,622,622
1971-11-07,451,757,451,674
1971-11-08,136,277,136,143
1971-11-09,336,336,336,336
1971-11-10,770,770,708,751
1971-11-11,776,776,105,731
1971-11-12,940,940,538,719
1971-11-13,83,615,83,227
1971-11-14,277,882,277,524
1971-11-15,11,947,11,835
1971-11-16,344,717,344,704
1971-11-17,21,782,21,152
1971-11-18,819,819,228,817
1971-11-19,140,796,140,293
1971-11-20,337,612,337,508
1971-11-21,204,376,204,231
1971-11-22,863,863,91,124
1971-11-23,183,304,75,141
1971-11-24,275,643,203,438
1971-11-25,463,463,300,390
1971-11-26,580,669,310,664
1971-11-27,128,217,128,151
1971-11-28,547,547,547,547
1971-11-29,946,946,771,942
1971-11-30,517,517,474,488
1971-12-01,764,843,764,827
1971-12-02,572,679,397,499
1971-12-03,694,694,439,637
1971-12-04,347,347,347,347
1971-12-05,749,749,293,508
1971-12-06,47,359,47,319
1971-12-07,485,916,485,815
1971-12-08,176,553,166,211
1971-12-09,222,776,222,676
1971-12-10,463,463,463,463
1971-12-11,88,360,88,138
1971-12-12,805,805,638,646
1971-12-13,434,540,2,213
1971-12-14,238,479,238,250
1971-12-15,318,915,318,779
1971-12-16,757,757,757,757
1971-12-17,589,838,589,739
1971-12-18,132,558,111,278
1971-12-19,68,382,68,221
1971-12-20,979,979,730,827
1971-12-21,681,681,9,426
1971-12-22,762,898,429,828
1971-12-23,951,951,717,870
1971-12-24,503,503,503,503
1971-12-25,30,160,30,77
1971-12-26,642,997,399,786
1971-12-27,304,304,304,304
1971-12-28,7,184,7,142
1971-12-29,640,640,558,629
1971-12-30,72,279,72,195
1971-12-31,460,925,119,477
1972-01-01,428,978,428,777
1972-01-02,828,828,689,773
1972-01-03,512,661,512,643
1972-01-04,809,809,809,809
1972-01-05,328,328,328,328
1972-01-06,305,305,305,305
1972-01-07,258,666,258,329
1972-01-08,218,661,218,307
1972-01-09,218,618,218,309
1972-01-10,646,646,622,624
1972-01-11,291,883,291,475
1972-01-12,875,875,247,828
1972-01-13,503,669,503,539
1972-01-14,445,719,445,693
1972-01-15,709,709,276,592
1972-01-16,735,735,623,645
1972-01-17,3,502,3,294
1972-01-18,411,598,411,554
1972-01-19,320,933,320,823
1972-01-20,802,802,511,742
1972-01-21,281,813,281,612
1972-01-22,281,320,281,311
1972-01-23,723,727,351,425
1972-01-24,525,978,319,769
1972-01-25,989,989,112,826
1972-01-26,116,575,116,129
1972-01-27,993,993,852,904
1972-01-28,17,955,17,578
1972-01-29,274,402,147,233
1972-01-30,611,611,611,611
1972-01-31,372,372,248,273
1972-02-01,771,771,771,771
1972-02-02,209,648,209,566
1972-02-03,962,962,512,614
1972-02-04,800,800,800,800
1972-02-05,181,181,181,181
1972-02-06,134,481,11,377
1972-02-07,824,824,700,706
1972-02-08,243,403,243,256
1972-02-09,662,839,662,735
1972-02-10,807,807,131,551
1972-02-11,926,926,815,892
1972-02-12,157,230,157,172
1972-02-13,484,856,484,672
1972-02-14,661,821,661,748
1972-02-15,725,725,725,725
1972-02-16,251,327,251,311
1972-02-17,390,390,390,390
1972-02-18,476,806,47,617
1972-02-19,542,542,542,542
1972-02-20,40,43,40,41
1972-02-21,152,307,152,207
1972-02-22,966,966,961,961
1972-02-23,912,912,912,912
1972-02-24,372,525,372,426
1972-02-25,618,976,548,648
1972-02-26,78,821,78,620
1972-02-27,591,591,346,580
1972-02-28,35,358,35,246
1972-02-29,423,423,423,423
1972-03-01,311,502,311,454
1972-03-02,167,829,167,509
1972-03-03,763,763,503,725
1972-03-04,58,960,58,270
1972-03-05,598,598,598,598
1972-03-06,408,820,295,670
1972-03-07,349,835,349,729
1972-03-08,1,429,1,125
1972-03-09,979,979,26,762
1972-03-10,988,988,399,585
1972-03-11,775,775,668,709
1972-03-12,305,902,305,853
1972-03-13,132,324,39,150
1972-03-14,92,491,92,472
1972-03-15,645,827,518,537
1972-03-16,296,622,296,460
1972-03-17,800,960,665,833
1972-03-18,327,327,327,327
1972-03-19,463,463,378,435
1972-03-20,495,738,495,643
1972-03-21,749,751,139,346
1972-03-22,792,792,105,446
1972-03-23,685,685,381,538
1972-03-24,667,667,189,463
1972-03-25,103,543,103,462
1972-03-26,624,829,624,812
1972-03-27,597,875,141,843
1972-03-28,226,492,226,412
1972-03-29,921,921,292,915
1972-03-30,518,703,193,496
1972-03-31,761,761,167,755
1972-04-01,463,585,463,579
1972-04-02,907,907,621,893
1972-04-03,373,373,373,373
1972-04-04,25,714,25,55
1972-04-05,300,881,145,200
1972-04-06,868,868,130,233
1972-04-07,791,791,791,791
1972-04-08,765,765,162,620
1972-04-09,675,699,442,462
1972-04-10,134,547,134,533
1972-04-11,567,567,567,567
1972-04-12,561,607,55,287
1972-04-13,30,80,30,60
1972-04-14,678,678,645,678
1972-04-15,736,736,517,580
1972-04-16,348,714,348,493
1972-04-17,709,924,5,70
1972-04-18,129,296,129,276
1972-04-19,27,211,27,176
1972-04-20,74,912,74,562
1972-04-21,527,527,527,527
1972-04-22,812,976,643,925
1972-04-23,529,651,436,628
1972-04-24,248,474,99,196
1972-04-25,193,326,193,263
1972-04-26,578,578,578,578
1972-04-27,217,217,217,217
1972-04-28,816,816,799,809
1972-04-29,677,677,403,558
1972-04-30,483,931,149,707
1972-05-01,8,165,8,116
1972-05-02,228,277,14,93
1972-05-03,248,650,248,302
1972-05-04,564,564,284,400
1972-05-05,65,164,65,140
1972-05-06,661,914,376,830
1972-05-07,344,344,344,344
1972-05-08,301,301,261,278
1972-05-09,731,731,125,592
1972-05-10,615,629,224,255
1972-05-11,361,361,361,361
1972-05-12,748,748,683,708
1972-05-13,786,979,641,771
1972-05-14,346,557,27,271
1972-05-15,727,727,433,604
1972-05-16,248,879,248,865
1972-05-17,207,861,24,522
1972-05-18,597,615,215,429
1972-05-19,842,842,471,685
1972-05-20,278,944,278,773
1972-05-21,927,927,918,921
1972-05-22,52,52,52,52
1972-05-23,206,843,206,421
1972-05-24,10,649,10,462
1972-05-25,577,952,165,672
1972-05-26,177,177,177,177
1972-05-27,622,622,264,370
1972-05-28,596,905,596,721
1972-05-29,988,988,905,988
1972-05-30,920,920,805,898
1972-05-31,232,275,191,218
1972-06-01,821,821,651,663
1972-06-02,521,521,257,351
1972-06-03,996,996,177,945
1972-06-04,520,520,520,520
1972-06-05,888,888,855,862
1972-06-06,969,969,795,842
1972-06-07,39,382,39,166
1972-06-08,39,767,39,439
1972-06-09,120,330,120,241
1972-06-10,394,394,394,394
1972-06-11,277,977,277,401
1972-06-12,635,635,635,635
1972-06-13,565,565,333,532
1972-06-14,223,626,223,373
1972-06-15,485,882,485,543
1972-06-16,610,610,269,471
1972-06-17,348,348,348,348
1972-06-18,629,905,350,772
1972-06-19,248,945,248,661
1972-06-20,65,65,65,65
1972-06-21,544,544,442,465
1972-06-22,965,965,950,965
1972-06-23,498,823,322,713
1972-06-24,270,829,60,469
1972-06-25,789,789,37,277
1972-06-26,99,446,99,311
1972-06-27,643,643,73,333
1972-06-28,370,905,370,489
1972-06-29,97,146,97,120
1972-06-30,136,559,136,214
1972-07-01,889,889,536,872
1972-07-02,285,285,278,280
1972-07-03,550,550,550,550
1972-07-04,911,911,218,685
1972-07-05,23,835,23,647
1972-07-06,234,705,234,566
1972-07-07,667,743,667,743
1972-07-08,733,733,733,733
1972-07-09,66,713,66,187
1972-07-10,721,862,702,796
1972-07-11,569,569,116,558
1972-07-12,80,401,80,168
1972-07-13,568,699,566,647
1972-07-14,401,607,66,256
1972-07-15,934,934,730,806
1972-07-16,618,618,524,526
1972-07-17,212,260,212,220
1972-07-18,607,607,210,281
1972-07-19,133,263,133,193
